"id","title","audiences","status_boundary"
"47","Emergency Identity and Support Bridge","church, school, ngo, family","Planned - uses existing support, identity, bulletin, welfare and verification records as a design direction; emergency-response authority is not live."
"48","Community-Based Public-Safety Support","church, school, ngo, cooperative, family","Strategic direction - requires lawful governance, safeguarding, reporting rules and human review before any public-safety use."
"49","Alternative Credit Evidence Pack","cooperative, family, ngo","Composite - combines contribution, repayment, support, TrustSlip, Trust Passport, shop, DemandBox and outcome evidence where recorded; it is not a credit score."
"50","Community Guarantee and Microfinance Support","cooperative, ngo, family, church","Partial - some support, guarantor, contribution, repayment and finance-evidence paths exist, but regulated microfinance decisions and custody remain outside GSN."
"51","Circular Economy and Community Wealth-Building","cooperative, ngo, church, school, family","Composite - combines Marketplace, shops, DemandBox, projects, contributions, local services and outcome records; wealth impact requires separate accounting and review."
"52","Institutional Verification Bridge","church, school, ngo, cooperative, family","Composite - can combine TrustSlip, public community records, member verification, documents and authorised exports; institution-specific approval workflows may still be planned."
"53","Community Resilience and Early-Support Signals","church, school, ngo, cooperative, family","Strategic direction - uses demand, welfare, attendance, bulletin, project and support signals to suggest where follow-up may be needed after governance approval."
"54","GSN Command Centre for Organisations","church, school, ngo, cooperative, family","Partial - command/admin dashboards and evidence surfaces exist, but organisation-wide governed reporting must be configured by role, permission, source and lawful purpose."
"55","Government and Policymaker Planning Lens","ngo, school, cooperative, church, family","Strategic direction - policy use is possible only from authorised, aggregated, lawful evidence exports and human review."
"56","Cross-Community and National Opportunity Intelligence","cooperative, ngo, school, church, family","Strategic direction - cross-community or national reading requires approved data governance, lawful aggregation, privacy controls and evidence-quality review."
