id,name,section,status,setup,behavior,source_data,prerequisites,dependencies,permissions,route,labels,empty_state,recovery,evidence,screenshots
F011,"Share public shop, product, Spotlight, or bulletin link",B,LIVE,NONE,USER_TRIGGERS_ON_DEMAND,Already-created public shop/product/Spotlight/bulletin URL and public-safe summary.,A public output must already exist.,"Public links/share helpers, QR/public routes, route-specific copy/share buttons.",Viewer/owner as surfaced by the route; public output only.,/shop/:gmfnId; /app/shop-control; /app/whatsapp-bridge; /community-notices/:public_code,Share; Copy; Copy Bulletin Message; Share to WhatsApp; Open QR link,No public link/output ready.,"Create or publish the underlying shop/product/notice/Spotlight first, then share again.",Link contract audit passed; Bulletin Bridge contract passed.,screenshots/2026-09-13_bulletin-bridge.png
F012,QR and public verification links,B,LIVE,NONE,USER_TRIGGERS_ON_DEMAND,Invite/public notice/TrustSlip/public shop code or URL.,Underlying public record exists and is current.,"QR component, public frontend/API origin, trust/public routes.",QR viewer only sees public-safe output; signed-in routes remain protected.,/t/:code; /trust-slips/verify/:code; /community-notices/:public_code; /join/:code,QR; TrustSlip Verify; Open QR link; Live ID card,No public QR verification path or expired/stale code.,"Ask holder/admin to refresh code, resend latest QR/link, or use manual code fallback.",Public TrustSlip first-viewport and verify-boundary audits passed; link contract audit passed.,screenshots/2026-09-13_public-trustslip.png
F013,"DemandBox post, response, close, and cancellation",B,LIVE,NONE,USER_TRIGGERS_ON_DEMAND,"Demand title, description, community ID, requester GSN ID/contact, status, response path.",Signed-in member and selected community; DemandBox feature enabled.,"Marketplace request API, DemandBox page, Dashboard DemandBox preview.",Requester can create/close/cancel own demand; community members can view/respond according to app surface.,/app/demand-box; /marketplace/requests/:request_id,DemandBox; Post demand; Posting...; Open my demand; Open community demand; Fulfilled; Cancelled; Open your DemandBox,No community available; no extra detail yet; feature may be off while existing requests remain visible.,"Create/join a community, add a title if validation responds, reopen DemandBox, or contact requester.",DemandBox front package audit passed; marketplace_requests backend tests passed.,screenshots/2026-09-13_demandbox.png
F014,Ask Community through DemandBox,B,LIVE,NONE,USER_TRIGGERS_ON_DEMAND,"Question text, community context, category Community Ask, requester/contact path.",Signed-in member and selected community; DemandBox enabled.,"DemandBox modal, createMarketplaceRequest API, not Community Notice engine.",Member request action; responses stay in DemandBox or approved private contact path.,/app/demand-box?mode=ask_community,Ask Community; Community question posted in DemandBox; Community Ask; Post a direct need or ask the community first,"If community missing, user must create/join first; post button gives validation feedback.","Choose community, write question/title, post again, use DemandBox response or contact path.",DemandBox audit requires Community Ask to createMarketplaceRequest category Community Ask and not Community Notice Board.,screenshots/2026-09-13_demandbox.png
F015,"TrustSlip generation, sharing, and recipient verification",B,LIVE,NONE,USER_TRIGGERS_ON_DEMAND,"Existing eligible identity/community/trust evidence, selected purpose/Decision Pack, public code, validity window.",Holder has account and enough eligible evidence for requested purpose/context.,"TrustSlip page, trust slip APIs, public verify page, TrustPassport/private evidence boundary.",Holder controls sharing; public verifier sees public-safe TrustSlip only.,/app/trust-slip; /t/:code; /verify/trust-slip; /app/trust-slip/verify,TrustSlip; TrustSlip Verify; Public Decision Pack; Read evidence; Ask community,"Expired, missing, stale, or not enough evidence; verifier may ask holder to refresh.","Holder refreshes/generates current TrustSlip, selects correct purpose, shares latest QR/code/link.",Public TrustSlip audits passed; Decision Pack QR/public-link issue registered.,screenshots/2026-09-13_trustslip.png
F016,Community confirmation and witness response,B,PARTIAL,NONE,USER_TRIGGERS_ON_DEMAND,"TrustSlip/community confirmation request, public token, eligible response pool, witness responses, review case.",Public TrustSlip/community evidence context and configured response permissions.,"Community confirmation APIs, public confirmation route, inbox/policy route.",Requester/recipient/community responders; reviewer/admin for review cases.,/community-confirmations/public/:token; /app/community-confirmations; /app/community-confirmations/policy,Community Confirmation; Confirm membership; Ask community; Review witnesses,Request can remain pending or response pool unavailable.,"Use inbox/policy screens, ask community only when code/response pool ready, review evidence before relying.",Community confirmation backend tests passed; public TrustSlip audit checks confirmation choices.,
F017,Community Domain Bulletin Bridge,B,LIVE,NONE,USER_TRIGGERS_ON_DEMAND,Latest already-published public Community Bulletin notice link and public-safe message.,A public Community Domain bulletin/notice already exists.,"Community notices list, public notice URL builder, WhatsApp/share helper.",Signed-in community/domain user with route access; output is public bulletin only.,/app/whatsapp-bridge,Community Domain Bulletin Bridge; Broadcast approved public bulletins.; Copy Bulletin Message; Share to WhatsApp; No public bulletin ready; Output only; No internal tools; No WhatsApp scraping,No public bulletin ready.,"Post/approve a public bulletin first, return to bridge, copy message or share manually.",WhatsApp Bridge contract audit passed from frontend directory.,screenshots/2026-09-13_bulletin-bridge.png
F018,GS ID / GSN ID assignment and display,C,LIVE,NONE,SYSTEM_DERIVES_OR_UPDATES,User/community identity records and approval/activation flow.,Account/member record exists and approval/activation produced an ID.,"Entry, join approvals, profile, public shop/trust routes.",User views own ID; public surfaces expose only public-safe ID where designed.,/app/my-gmfn-and-i; /app/dashboard; /app/community; /shop/:gmfnId,GSN ID; GSN ID visible; Trust Identity,No community ID yet or no GSN ID yet until activation/record creation completes.,Complete activation/join approval/profile setup; ask owner/admin if ID not issued.,App labels/source and join approval source; tests cover approval issuing GSN ID.,screenshots/2026-09-13_shop-control.png
F019,Shop Control automatic status and owner board,C,LIVE,NONE,SYSTEM_DERIVES_OR_UPDATES,"Shop, product slots, Vault offers, Spotlight state, follower count, share/attention events, trade records.",Shop exists; richer reading needs activity.,"Shop Control, marketplace analytics summary, attention spine, product and broadcast records.",Shop owner only for analytics/management; public shop shows public-safe face.,/app/shop-control,Shop Control; Analytics; Public Items; Vault; Spotlights; Followers; Shared links; Visitors; Product opens; Contact taps,No active spotlight; no followers yet; no tracked share action yet; no source breakdown yet.,"Create public items, publish/share, wait for activity, then reopen Analytics; correct source records in owning feature.",Shop Control button inventory and Spotlight system feed audits passed.,screenshots/2026-09-13_shop-control.png
F020,Business Analytics and Advanced Analytics snapshot,C,PARTIAL,NONE,SYSTEM_DERIVES_OR_UPDATES,"Shop activity, Spotlight, DemandBox, trade evidence, follower notices, selected community context.",Shop and some measurable activity; advanced reading becomes useful as evidence grows.,"Marketplace analytics API, Shop Control analytics panels, shopAnalyticsWisdom, Attention Spine.",Shop owner; public users do not see owner analytics.,/app/shop-control#shop-control-summary,"Business Analytics; Advanced Analytics; Market Intelligence; Advanced Analytics snapshot; Evidence first, next test second; Contact taps",Gathering data; no protected trade record; no source breakdown; no tracked share action.,"Publish/share/post demand, record outcomes, close loops, then recheck; do not treat early readings as proof.",Spotlight system feed audit verifies Advanced Analytics/Opportunity snapshot inside Shop Control analytics.,screenshots/2026-09-13_shop-control.png
F021,Market Wisdom,C,LIVE,NONE,SYSTEM_DERIVES_OR_UPDATES,"Public/backend daily insight, local fallback weighted by identity, support pressure, unread activity, trust pressure, Spotlight and time of day.",None for public insight; signed-in context improves smart fallback.,"daily_insight API, Dashboard, Marketplace wisdom lens, marketWisdom frontend library.",Public daily insight route; signed-in dashboard can use local context.,/app/dashboard; /app/marketplace; /public/daily-insight,Market Wisdom; Your Market Wisdom; Market; GSN; Guide; Now,Backend insight can fall back to local smart wisdom; no proof/guarantee implied.,"Refresh Dashboard, check backend route/connectivity, use Focus Commitments when relevant.",Market Wisdom contract audit passed; market_wisdom_engine tests passed.,screenshots/2026-09-13_dashboard.png
F022,TrustEvents and TrustTimeline,C,LIVE,NONE,SYSTEM_DERIVES_OR_UPDATES,"Recorded community, support, repayment, confirmation, shop/trade, focus, and admin-reviewed evidence events.",Actions/evidence must be recorded by live features or authorized admin/manual event paths.,"Trust event routes, TrustTimeline, evidence pack, TrustPassport/TrustSlip readings.",Signed-in user for own timeline; admin routes for manual/admin review.,/app/trust-timeline; /app/command-center/trust-events,Trust Events; Latest event context; TrustTimeline; Admin Trust Events,No trust events yet or no recent event visible yet.,"Record real activity in owning feature, ask admin/reviewer to correct authorized evidence, or use Identity/Trust recovery.",Trust route ownership/evidence pack tests passed; admin trust event routes present.,
F023,TrustPassport,C,LIVE,NONE,SYSTEM_DERIVES_OR_UPDATES,"Identity, membership, TrustEvents, community confirmations, repayment/support and evidence-pack summaries.",Member account and real recorded evidence.,"Trust page, trust score/CCI/explainability routes, evidence pack, TrustSlip.",Private/signed-in fuller personal record; public verifier does not get private passport content.,/app/trust; /trust-passport redirect to /app/trust,Trust Passport; Open Trust Passport; fuller personal/private record,No trust events yet or evidence still building.,"Correct source evidence, add missing confirmation/identity records, wait for refresh, or use TrustSlip refresh for public proof.",Public TrustSlip verify boundary passed; trust route/evidence tests passed.,screenshots/2026-09-13_trust-passport.png
F024,TrustGraph and Trust Analytics admin views,C,ADMIN_ONLY,NONE,SYSTEM_DERIVES_OR_UPDATES,"TrustEvents, community/member relationships, exposure/analytics records.",Admin/platform permission and existing evidence.,"Command Center admin routes, trust graph/trust analytics APIs.",Admin/platform admin only.,/app/command-center/trust-graph; /app/command-center/trust-analytics,Trust Graph; Trust Analytics,No relationship/evidence data yet or admin access unavailable.,Use admin Command Center after permission; correct source events instead of editing graph interpretation directly.,APP_ROUTES TRUST_GRAPH/TRUST_ANALYTICS; backend trust_graph/admin routes present.,
F025,Notifications and phone Web Push,C,PARTIAL,OPTIONAL_CONFIGURATION,SYSTEM_DERIVES_OR_UPDATES,"Notice board events, notification rows, service worker subscription, configured push keys, device permission.",Browser/device permits notifications and production push environment is configured.,"Notifications page, web push service worker, backend web_push routes, official-board push boundary.",Signed-in user/device consent; community notice permission for sender.,/app/notifications; service worker; web-push API,Notifications; Action Inbox; Web Push,Notification rows may exist while phone sound/vibration does not happen if browser permission/config missing.,"Install/permit PWA/browser notifications, verify environment keys, open Action Inbox fallback.",Web Push production readiness audit and web_push_notifications tests passed.,
F026,Opportunity / Market Intelligence capability,D,EXPERIMENTAL,NONE,CONDITIONALLY_UNLOCKED,"Shop, I Can Help With/capability signals where available, DemandBox needs, Ask Community, Spotlight attention, Repost, Shop Control analytics, Market Wisdom, trust/evidence context.",Foundational shop/community/evidence setup plus enough activity and permission to read it.,"Shop Control Advanced Analytics, Market Intelligence, Attention Spine, DemandBox, Market Wisdom.",Owner-facing analytics only; no private graph logic exposed.,/app/shop-control#shop-control-summary; /app/marketplace; /app/demand-box,Opportunity Engine / Market Intelligence; Advanced Analytics snapshot; Opportunity reading; Recommended next move; Ask Community; Open DemandBox,Advanced Analytics shows gathering-data/evidence-first states and blocks wider guidance until records exist.,"Add a real offer, publish/share, post or answer DemandBox items, close outcomes, and recheck after evidence grows.","Advanced Analytics brief; Spotlight system feed audit verifies Opportunity snapshot under existing analytics, not standalone engine.",screenshots/2026-09-13_shop-control.png
